=== BUILD_T0 2026-09-10T06:06:33Z OLEANS_BEFORE=3608
✔ [2315/2337] Built Mathlib.GroupTheory.Subgroup.Simple (3.2s)
✔ [2316/2337] Built Mathlib.Data.ZMod.Basic (9.8s)
✔ [2317/2338] Built Mathlib.LinearAlgebra.Matrix.Nondegenerate (4.6s)
✔ [2318/2338] Built Mathlib.RingTheory.Localization.Integer (3.6s)
✔ [2319/2338] Built Mathlib.RingTheory.Localization.Basic (11s)
✔ [2320/2338] Built Mathlib.Data.ZMod.Aut (1.9s)
✔ [2321/2338] Built Mathlib.GroupTheory.Exponent (8.7s)
✔ [2322/2346] Built Mathlib.Algebra.Ring.Action.ConjAct (2.2s)
✔ [2323/2347] Built Mathlib.Data.ZMod.IntUnitsPower (2.7s)
✔ [2324/2350] Built Mathlib.Data.ZMod.QuotientGroup (4.8s)
✔ [2325/2350] Built Mathlib.Logic.Equiv.Multiset (3.8s)
✔ [2326/2350] Built Mathlib.LinearAlgebra.Matrix.InvariantBasisNumber (5.6s)
✔ [2327/2350] Built Mathlib.Algebra.Ring.NegOnePow (4.7s)
✔ [2328/2350] Built Mathlib.RingTheory.Finiteness.Projective (3.6s)
✔ [2329/2351] Built Mathlib.Logic.Equiv.Finset (4.8s)
✔ [2330/2351] Built Mathlib.GroupTheory.SpecificGroups.Cyclic.Basic (7.2s)
✔ [2331/2352] Built Mathlib.RingTheory.Localization.FractionRing (15s)
✔ [2332/2352] Built Mathlib.Logic.Encodable.Pi (3.1s)
✔ [2333/2352] Built Mathlib.GroupTheory.Congruence.BigOperators (5.0s)
✔ [2334/2352] Built Mathlib.Algebra.Ring.Periodic (6.8s)
✔ [2335/2359] Built Mathlib.Data.W.Basic (3.5s)
✔ [2336/2359] Built Mathlib.RingTheory.TwoSidedIdeal.Operations (7.6s)
✔ [2337/2359] Built Mathlib.Data.Nat.Periodic (4.4s)
✔ [2338/2359] Built Mathlib.Data.W.Cardinal (3.5s)
✔ [2339/2359] Built Mathlib.Algebra.Polynomial.Roots (15s)
✔ [2340/2359] Built Mathlib.RingTheory.Jacobson.Radical (5.0s)
✔ [2341/2359] Built Mathlib.SetTheory.Cardinal.Subfield (5.6s)
✔ [2342/2360] Built Mathlib.Data.Nat.Totient (6.0s)
✔ [2343/2361] Built Mathlib.Topology.Algebra.Module.ModuleTopology (11s)
✔ [2344/2361] Built Mathlib.LinearAlgebra.Dimension.ErdosKaplansky (7.4s)
✔ [2345/2361] Built Mathlib.Order.Atoms.Finite (4.8s)
✔ [2346/2361] Built Mathlib.RingTheory.Jacobson.Ideal (7.5s)
✔ [2347/2367] Built Mathlib.Order.CompactlyGenerated.Intervals (3.5s)
✔ [2349/2369] Built Mathlib.LinearAlgebra.Matrix.Ideal (8.3s)
✔ [2351/2369] Built Mathlib.RingTheory.Ideal.Colon (10s)
✔ [2352/2370] Built Mathlib.RingTheory.SimpleRing.Matrix (6.2s)
✔ [2353/2370] Built Mathlib.RingTheory.TensorProduct.Maps (54s)
✔ [2354/2373] Built Mathlib.GroupTheory.SpecificGroups.Cyclic (17s)
✔ [2355/2373] Built Mathlib.Topology.Algebra.Module.ContinuousLinearMap.Quotient (4.7s)
✔ [2356/2373] Built Mathlib.Topology.Algebra.SeparationQuotient.FiniteDimensional (4.5s)
✔ [2357/2375] Built Mathlib.Topology.Homeomorph.Quotient (2.7s)
✔ [2358/2379] Built Mathlib.Order.JordanHolder (8.4s)
✔ [2359/2379] Built Mathlib.Topology.Maps.Strict.Basic (3.7s)
✔ [2360/2380] Built Mathlib.RingTheory.IntegralDomain (7.4s)
✔ [2362/2380] Built Mathlib.LinearAlgebra.Dimension.LinearMap (5.0s)
✔ [2363/2381] Built Mathlib.LinearAlgebra.Matrix.Block (7.2s)
